Rank,Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,Career
43,Neil Walker,,,,,,,"$400,000.00",,"$437,000.00","$500,000.00","$3,300,000.00","$5,750,000.00","$8,000,000.00","$10,550,000.00","$17,200,000.00","$4,000,000.00","$2,000,000.00","$281,928.00",,,,,,,,,,,,,,,,,,,,"$52,418,928"
44,Mark Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
45,Adam Loewen,,,,,"$1,020,000.00","$816,000.00",,,,,,,"$160,846.00","$47,141.00",,,,,,,,,,,,,,,,,,,,,,,,"$2,043,987"
46,Erick Aybar,,,,"$327,500.00","$382,500.00","$415,000.00","$485,000.00","$2,150,000.00","$3,075,000.00","$5,075,000.00","$9,500,000.00","$8,550,000.00","$8,500,000.00","$11,250,000.00","$1,750,000.00",,,,,,,,,,,,,,,,,,,,,,,"$51,460,000"
47,Adam Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
48,Dustin McGowan,,,"$316,000.00",,"$380,000.00","$404,100.00","$419,400.00","$500,000.00","$450,000.00","$600,000.00","$1,500,000.00","$1,500,000.00","$670,696.00","$1,000,000.00","$1,750,000.00",,,,,,,,,,,,,,,,,,,,,,,"$9,490,196"
49,Ryan Braun,,,,,"$380,000.00","$2,755,000.00","$745,000.00","$1,000,000.00","$4,000,000.00","$8,500,000.00","$11,000,000.00","$12,500,000.00","$14,500,000.00","$19,000,000.00","$19,000,000.00","$19,000,000.00","$18,000,000.00","$5,555,556.00","$4,000,000.00","$1,800,000.00","$1,800,000.00","$1,800,000.00","$1,800,000.00","$1,800,000.00","$1,800,000.00","$1,800,000.00","$1,800,000.00","$1,800,000.00","$1,800,000.00",,,,,,,,,"$157,935,556"
50,Andrew McCutchen,,,,,,,"$268,878.00","$422,500.00","$452,500.00","$1,850,000.00","$4,650,000.00","$7,325,000.00","$10,050,000.00","$13,000,000.00","$14,000,000.00","$14,749,996.00","$10,000,000.00","$6,296,296.00","$20,000,000.00","$11,500,000.00","$5,000,000.00","$5,000,000.00","$5,000,000.00","$427,776.00",,,,,,,,,,,,,,"$129,992,946"
51,Brian Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
52,Jason Hirsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
53,Jeremy Sowers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
