Rank,Name,Position,DOB,Highest Level,Age,Career WAR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,Career Earnings
90,Matt Wisler,,,,,,,,,,,,"$302,281.00","$435,361.00","$216,302.00","$149,430.00","$533,310.00","$268,519.00","$1,193,817.00","$2,160,000.00",,,,,,,,,,,,,,,,,,,,,"$5,259,020"
91,Nicholas Kingham,,,,,,,,,,,,,,,"$263,700.00","$321,195.00",,,,,,,,,,,,,,,,,,,,,,,,"$584,895"
92,Jimmy Nelson,,,,,,,,,,"$74,972.00","$215,846.00","$511,500.00","$522,300.00","$547,000.00","$3,700,000.00","$3,700,000.00","$277,778.00","$1,750,000.00","$700,000.00","$1,200,000.00",,,,,,,,,,,,,,,,,,,,"$13,199,396"
93,Austin Hedges,,,,,,,,,,,,"$424,303.00","$33,408.00","$537,100.00","$553,100.00","$2,060,000.00","$1,111,111.00","$3,280,000.00","$4,000,000.00","$5,000,000.00","$4,000,000.00","$4,000,000.00","$4,000,000.00",,,,,,,,,,,,,,,,,"$28,999,022"
94,Adam Eaton,,,,,,,,,,"$491,000.00","$511,000.00","$850,000.00","$2,750,000.00","$4,000,000.00","$6,000,000.00","$8,400,000.00","$5,018,519.00","$7,849,717.00",,,,,,,,,,,,,,,,,,,,,,"$35,870,236"
95,Dorssys Paulino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0
96,James Paxton,,,,,,,,,,"$13,230.00","$74,286.00","$519,000.00","$507,500.00","$2,350,000.00","$4,900,000.00","$8,575,000.00","$4,629,630.00","$8,500,000.00","$6,000,000.00","$4,000,000.00","$9,000,000.00",,,,,,,,,,,,,,,,,,,"$49,068,646"
97,Chris Owings,,,,,,,,,,"$74,972.00","$500,000.00","$512,500.00","$530,500.00","$2,300,000.00","$3,400,000.00","$3,149,194.00","$208,703.00","$1,000,000.00","$368,165.00","$100,646.00",,,,,,,,,,,,,,,,,,,,"$12,144,680"
98,Alex Colome,,,,,,,,,,"$109,781.00","$43,715.00","$510,800.00","$521,700.00","$547,900.00","$5,300,000.00","$7,325,000.00","$3,900,926.00","$6,250,000.00","$4,100,000.00","$30,968.00",,,,,,,,,,,,,,,,,,,,"$28,640,790"
99,Michael Fulmer,,,,,,,,,,,,,"$435,396.00","$551,900.00","$575,200.00","$2,800,000.00","$1,037,037.00","$3,100,000.00","$4,950,000.00","$4,000,000.00",,"$60,484.00",,,,,,,,,,,,,,,,,,"$17,510,017"
100,Kyle Gibson,,,,,,,,,,"$149,945.00","$502,500.00","$537,500.00","$587,500.00","$2,900,000.00","$4,200,000.00","$8,125,000.00","$4,629,629.00","$11,500,000.00","$8,000,000.00","$10,000,000.00","$13,000,000.00","$5,250,000.00",,,,,,,,,,,,,,,,,,"$69,382,074"
